year,club,titles,rank,color1,color2,titlesChar
1929,Barcelona,1,1,#004c99,#000000, 1
1930,Barcelona,1,1,#004c99,#000000, 1
1930,Athletic Bilbao,1,2,#ee2523,#000000, 1
1931,Barcelona,1,2,#004c99,#000000, 1
1931,Athletic Bilbao,2,1,#ee2523,#000000, 2
1932,Barcelona,1,2,#004c99,#000000, 1
1932,Athletic Bilbao,2,1,#ee2523,#000000, 2
1932,Real Madrid,1,3,#FEBE10,#000000, 1
1933,Real Madrid,2,2,#FEBE10,#000000, 2
1933,Barcelona,1,3,#004c99,#000000, 1
1933,Athletic Bilbao,2,1,#ee2523,#000000, 2
1934,Real Madrid,2,2,#FEBE10,#000000, 2
1934,Barcelona,1,3,#004c99,#000000, 1
1934,Athletic Bilbao,3,1,#ee2523,#000000, 3
1935,Real Madrid,2,2,#FEBE10,#000000, 2
1935,Barcelona,1,3,#004c99,#000000, 1
1935,Athletic Bilbao,3,1,#ee2523,#000000, 3
1935,Real Betis,1,4,#0BB363,#000000, 1
1936,Real Madrid,2,2,#FEBE10,#000000, 2
1936,Barcelona,1,3,#004c99,#000000, 1
1936,Athletic Bilbao,4,1,#ee2523,#000000, 4
1936,Real Betis,1,4,#0BB363,#000000, 1
1937,Real Madrid,2,2,#FEBE10,#000000, 2
1937,Barcelona,1,3,#004c99,#000000, 1
1937,Athletic Bilbao,4,1,#ee2523,#000000, 4
1937,Real Betis,1,4,#0BB363,#000000, 1
1938,Real Madrid,2,2,#FEBE10,#000000, 2
1938,Barcelona,1,3,#004c99,#000000, 1
1938,Athletic Bilbao,4,1,#ee2523,#000000, 4
1938,Real Betis,1,4,#0BB363,#000000, 1
1939,Real Madrid,2,2,#FEBE10,#000000, 2
1939,Barcelona,1,3,#004c99,#000000, 1
1939,Athletic Bilbao,4,1,#ee2523,#000000, 4
1939,Real Betis,1,4,#0BB363,#000000, 1
1940,Atlético Madrid,1,5,#CB3524,#000000, 1
1940,Real Madrid,2,2,#FEBE10,#000000, 2
1940,Barcelona,1,3,#004c99,#000000, 1
1940,Athletic Bilbao,4,1,#ee2523,#000000, 4
1940,Real Betis,1,4,#0BB363,#000000, 1
1941,Atlético Madrid,2,3,#CB3524,#000000, 2
1941,Real Madrid,2,2,#FEBE10,#000000, 2
1941,Barcelona,1,4,#004c99,#000000, 1
1941,Athletic Bilbao,4,1,#ee2523,#000000, 4
1941,Real Betis,1,5,#0BB363,#000000, 1
1942,Atlético Madrid,2,3,#CB3524,#000000, 2
1942,Real Madrid,2,2,#FEBE10,#000000, 2
1942,Barcelona,1,4,#004c99,#000000, 1
1942,Athletic Bilbao,4,1,#ee2523,#000000, 4
1942,Real Betis,1,5,#0BB363,#000000, 1
1942,Valencia,1,6,#ee3524,#000000, 1
1943,Atlético Madrid,2,3,#CB3524,#000000, 2
1943,Real Madrid,2,2,#FEBE10,#000000, 2
1943,Barcelona,1,4,#004c99,#000000, 1
1943,Athletic Bilbao,5,1,#ee2523,#000000, 5
1943,Real Betis,1,5,#0BB363,#000000, 1
1943,Valencia,1,6,#ee3524,#000000, 1
1944,Atlético Madrid,2,3,#CB3524,#000000, 2
1944,Real Madrid,2,2,#FEBE10,#000000, 2
1944,Barcelona,1,5,#004c99,#000000, 1
1944,Athletic Bilbao,5,1,#ee2523,#000000, 5
1944,Real Betis,1,6,#0BB363,#000000, 1
1944,Valencia,2,4,#ee3524,#000000, 2
1945,Atlético Madrid,2,3,#CB3524,#000000, 2
1945,Real Madrid,2,2,#FEBE10,#000000, 2
1945,Barcelona,2,5,#004c99,#000000, 2
1945,Athletic Bilbao,5,1,#ee2523,#000000, 5
1945,Real Betis,1,6,#0BB363,#000000, 1
1945,Valencia,2,4,#ee3524,#000000, 2
1946,Sevilla,1,7,#f43333,#000000, 1
1946,Atlético Madrid,2,3,#CB3524,#000000, 2
1946,Real Madrid,2,2,#FEBE10,#000000, 2
1946,Barcelona,2,5,#004c99,#000000, 2
1946,Athletic Bilbao,5,1,#ee2523,#000000, 5
1946,Real Betis,1,6,#0BB363,#000000, 1
1946,Valencia,2,4,#ee3524,#000000, 2
1947,Sevilla,1,7,#f43333,#000000, 1
1947,Atlético Madrid,2,4,#CB3524,#000000, 2
1947,Real Madrid,2,3,#FEBE10,#000000, 2
1947,Barcelona,2,5,#004c99,#000000, 2
1947,Athletic Bilbao,5,1,#ee2523,#000000, 5
1947,Real Betis,1,6,#0BB363,#000000, 1
1947,Valencia,3,2,#ee3524,#000000, 3
1948,Sevilla,1,7,#f43333,#000000, 1
1948,Atlético Madrid,2,5,#CB3524,#000000, 2
1948,Real Madrid,2,4,#FEBE10,#000000, 2
1948,Barcelona,3,3,#004c99,#000000, 3
1948,Athletic Bilbao,5,1,#ee2523,#000000, 5
1948,Real Betis,1,6,#0BB363,#000000, 1
1948,Valencia,3,2,#ee3524,#000000, 3
1949,Sevilla,1,7,#f43333,#000000, 1
1949,Atlético Madrid,2,5,#CB3524,#000000, 2
1949,Real Madrid,2,4,#FEBE10,#000000, 2
1949,Barcelona,4,2,#004c99,#000000, 4
1949,Athletic Bilbao,5,1,#ee2523,#000000, 5
1949,Real Betis,1,6,#0BB363,#000000, 1
1949,Valencia,3,3,#ee3524,#000000, 3
1950,Sevilla,1,7,#f43333,#000000, 1
1950,Atlético Madrid,3,3,#CB3524,#000000, 3
1950,Real Madrid,2,5,#FEBE10,#000000, 2
1950,Barcelona,4,2,#004c99,#000000, 4
1950,Athletic Bilbao,5,1,#ee2523,#000000, 5
1950,Real Betis,1,6,#0BB363,#000000, 1
1950,Valencia,3,4,#ee3524,#000000, 3
1951,Sevilla,1,7,#f43333,#000000, 1
1951,Atlético Madrid,4,3,#CB3524,#000000, 4
1951,Real Madrid,2,5,#FEBE10,#000000, 2
1951,Barcelona,4,2,#004c99,#000000, 4
1951,Athletic Bilbao,5,1,#ee2523,#000000, 5
1951,Real Betis,1,6,#0BB363,#000000, 1
1951,Valencia,3,4,#ee3524,#000000, 3
1952,Sevilla,1,7,#f43333,#000000, 1
